Total files are count: 553

 file_number: 1, name: 94.JPG, class: Sadi_pridoniya_sok_vishnya, score: 78.10496687889099% 

 file_number: 2, name: 306.JPG, class: Sensiro_Suru_cream, score: 94.24200654029846% 

 file_number: 3, name: photo_2020-05-11_17-04-10.jpg, class: Leps, score: 96.47518396377563% 

 file_number: 4, name: photo_2020-05-11_17-12-34.jpg, class: Risotto_porcino, score: 60.93266010284424% 

 file_number: 5, name: 327.JPG, class: Baryer, score: 22.365286946296692% 

 file_number: 6, name: photo_2020-05-11_17-04-57.jpg, class: Ahmad_tea_earl_grey, score: 14.607340097427368% 

 file_number: 7, name: 154.JPG, class: Sensiro_Suru_cream, score: 87.47749328613281% 

 file_number: 8, name: 117.JPG, class: Givenchy_mascara, score: 4.2052485048770905% 

 file_number: 9, name: 312.JPG, class: Koska_halva, score: 75.06579756736755% 

 file_number: 10, name: 76.JPG, class: Muesli_ogo, score: 84.44710373878479% 

 file_number: 11, name: 164.JPG, class: Plombir_fistashka, score: 65.46858549118042% 

 file_number: 12, name: 361.JPG, class: Dolce_Albero_cake, score: 36.4185631275177% 

 file_number: 13, name: 318.JPG, class: Dom_v_kotorom, score: 26.147395372390747% 

 file_number: 14, name: photo_2020-05-11_17-03-28.jpg, class: Carmex, score: 95.90189456939697% 

 file_number: 15, name: 127.JPG, class: Heinz_kasha_tykwa, score: 29.95176613330841% 

 file_number: 16, name: photo_2020-05-11_17-03-15.jpg, class: Cornline_bar, score: 20.051513612270355% 

 file_number: 17, name: photo_2020-05-11_17-01-05.jpg, class: MiT_Losev, score: 3.6731623113155365% 

 file_number: 18, name: 212.JPG, class: Koska_halva, score: 23.75255525112152% 

 file_number: 19, name: photo_2020-05-11_17-00-27.jpg, class: MKB_Pogidaev, score: 6.462668627500534% 

 file_number: 20, name: 230.JPG, class: Dolce_Albero_cake, score: 34.81700122356415% 

 file_number: 21, name: 278.JPG, class: Heinz_apple_pear, score: 40.16284644603729% 

 file_number: 22, name: 307.JPG, class: Heinz_fruits_pure, score: 59.568214416503906% 

 file_number: 23, name: 365.JPG, class: Nestle_ovsyanaya_kasha, score: 65.63034057617188% 

 file_number: 24, name: 251.JPG, class: Givenchy_mascara, score: 5.219875276088715% 

 file_number: 25, name: 343.JPG, class: Plombir_fistashka, score: 93.65396499633789% 

 file_number: 26, name: photo_2020-05-11_17-06-47.jpg, class: Vologodskaya_malina, score: 56.80937170982361% 

 file_number: 27, name: 234.JPG, class: Heinz_apple_pear, score: 36.342447996139526% 

 file_number: 28, name: 243.JPG, class: Koska_halva, score: 91.26818776130676% 

 file_number: 29, name: photo_2020-05-11_17-09-19.jpg, class: Tequila, score: 92.53097176551819% 

 file_number: 30, name: photo_2020-05-11_17-09-30.jpg, class: Tequila, score: 93.46480965614319% 

 file_number: 31, name: photo_2020-05-11_17-08-08.jpg, class: Vologodskaya_malina, score: 34.08820331096649% 

 file_number: 32, name: photo_2020-05-11_17-03-56.jpg, class: Carmex, score: 96.02280855178833% 

 file_number: 33, name: 297.JPG, class: Adlin, score: 54.0360689163208% 

 file_number: 34, name: 124.JPG, class: Barhatnie_ruchki, score: 68.77403855323792% 

 file_number: 35, name: photo_2020-05-11_16-59-39.jpg, class: MiT_Losev, score: 6.324996799230576% 

 file_number: 36, name: 114.JPG, class: Plombir_fistashka, score: 87.47743368148804% 

 file_number: 37, name: photo_2020-05-11_17-01-20.jpg, class: MiT_Losev, score: 91.89353585243225% 

 file_number: 38, name: 123.JPG, class: Tide, score: 95.36406993865967% 

 file_number: 39, name: photo_2020-05-11_17-08-50.jpg, class: Risotto_tartufo, score: 89.42874670028687% 

 file_number: 40, name: photo_2020-05-11_17-06-06.jpg, class: Oil_amarant, score: 79.0790855884552% 

 file_number: 41, name: 198.JPG, class: Muesli_ogo, score: 86.29698753356934% 

 file_number: 42, name: 143.JPG, class: Sensiro_Suru_cream, score: 91.02007150650024% 

 file_number: 43, name: photo_2020-05-11_17-04-40.jpg, class: Leps, score: 99.39361214637756% 

 file_number: 44, name: 156.JPG, class: Sadi_pridoniya_sok_vishnya, score: 70.80703377723694% 

 file_number: 45, name: 288.JPG, class: Korovka_iz_korenovki_sguchonka, score: 32.152169942855835% 

 file_number: 46, name: photo_2020-05-11_16-59-10.jpg, class: Ambrobene_rastvor, score: 19.01845932006836% 

 file_number: 47, name: photo_2020-05-11_17-05-41.jpg, class: Carmex, score: 52.1579384803772% 

 file_number: 48, name: 52.JPG, class: Heinz_kasha_tykwa, score: 32.325196266174316% 

 file_number: 49, name: photo_2020-05-11_17-08-41.jpg, class: Dolce_Albero_cake, score: 27.163568139076233% 

 file_number: 50, name: 337.JPG, class: Voda_antipodes, score: 84.7743570804596% 

 file_number: 51, name: 26.JPG, class: Leps, score: 53.569191694259644% 

 file_number: 52, name: 69.JPG, class: Heinz_fruits_salad, score: 61.97681427001953% 

 file_number: 53, name: 347.JPG, class: Barhatnie_ruchki, score: 56.281256675720215% 

 file_number: 54, name: 264.JPG, class: Sadi_pridoniya_sok_vishnya, score: 42.90798902511597% 

 file_number: 55, name: 252.JPG, class: Sadi_pridoniya_pure_apple, score: 90.65660834312439% 

